organization_group_id,organization_group_name,petitioner_company_id,petitioner_company_name,petitioner_company_of_primary_beneficiary,beneficiary_id,beneficiary_type,beneficiary_record_opened_date,beneficiary_status,beneficiary_record_retired_date,beneficiary_last_name,beneficiary_first_name,beneficiary_full_name,primary_beneficiary_id,primary_beneficiary_last_name,primary_beneficiary_first_name,relation,gender,date_of_birth,country_of_birth,country_of_citizenship,alien_number,date_of_last_entry_into_the_us,i94_number,i94_status,i94_valid_from,i94_exp_date,current_status,current_status_exp_date,i797_valid_from,i797_exp_date,final_niv_hl_status_valid_from,final_niv_maxout_date,i129s_exp_date,ped_petition_end_date,ead_type,ead_exp_date,ap_exp_date,ds2019_valid_from,ds2019_exp_date,re_entry_permit_exp_date,green_card_exp_date,passport_number,passport_issuing_country,passport_valid_from,passport_exp_date,visa_type,visa_issue_date,visa_exp_date,visa_priority_green_card_method,primary_visa_priority_date,primary_visa_priority_category,primary_visa_country_of_chargeability,visa_priority_note,track_filed,green_card_method,employee_id,work_email_id,current_employer,management_info_employee_id,management_info_department,management_info_dept_group,management_info_dept_number,business_unit_code,hr_info_client_billing_code,job_title,job_location_street,job_location_city,job_location_state,hire_date,management_info_manager,management_info_manager_email,management_info_second_level_manager,management_info_second_level_manager_email,management_info_partner_name,management_info_partner_email,management_info_cost_center,management_info_cost_center_number,management_info_client_billing_code,management_info_business_unit_code,management_info_job_title,management_info_job_status,management_info_job_code,management_info_job_start_date,management_info_job_end_date,management_info_work_address,management_info_job_location_city,management_info_job_location_state
,,625365123,"Charter Communications, Inc.",,626367847,Primary,9/7/2017,Active,0100-01-01,LN 11,FN 11,"LN 11, FN 11",,,,,M,1/11/1986,INDIA,INDIA,123456789,5/27/2016,97537251230,H-1B,5/27/2016,10/4/2023,H-1B,10/4/2023,0100-01-01,10/4/2023,0100-01-01,4/4/4000,0100-01-01,0100-01-01,,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,M123456,United States of America,0100-01-01,0100-01-01,,7/15/2020,10/4/2023,AOS,3/27/2013,Emp: 3rd,INDIA,I-140 w/prior ER; PERM in process [10.14.21 KAP],0,AOS,6036948,test1@email.com,"Charter Communications, Inc.",6036948,Charter,APO,,Network Operations,,,"Greenwood Village, CO",,,10/30/2017,L1Manager 11,,L2Manager 11,,HRBP 11,,,,,Network Operations,,,,10/30/2017,0100-01-01,"Greenwood Village, CO",,
,,625365123,"Charter Communications, Inc.",,626368678,Primary,9/13/2017,Active,0100-01-01,LN 12,FN 12,"LN 12, FN 12",,,,,M,1/12/1986,INDIA,INDIA,,7/15/2017,49307674285,H-1B,7/15/2017,7/14/2023,H-1B,7/14/2023,0100-01-01,7/14/2023,0100-01-01,7/14/2023,0100-01-01,0100-01-01,,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,-,United States of America,0100-01-01,0100-01-01,,5/10/2017,9/19/2019,AOS,0100-01-01,,INDIA,,1,AOS,6037084,test2@email,"Charter Communications, Inc.",6037084,Charter,CBO,,Network Operations,,,,,,10/23/2017,L1Manager 12,,L2Manager 12,,HRBP 12,,,,,Network Operations,,,,10/23/2017,0100-01-01,,,
,,625365123,"Charter Communications, Inc.",,626369922,Primary,9/19/2017,Active,0100-01-01,LN 13,FN 13,"LN 13, FN 13",,,,,M,1/13/1986,SAUDI ARABIA,India,123456789,11/29/2016,346895185,H-1B,11/29/2016,8/31/2021,H-1B,8/31/2024,0100-01-01,8/31/2024,0100-01-01,9/30/2024,0100-01-01,0100-01-01,,2/8/2020,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,M123456,India,2/19/2020,2/18/2030,,5/13/2015,5/11/2020,AOS,0100-01-01,,SAUDI ARABIA,,1,AOS,6023202,test1@email.com,"Charter Communications, Inc.",6023202,Charter,NTO,,Network Operations,,,,,,6/12/2017,L1Manager 13,,L2Manager 13,,HRBP 13,,,,,Network Operations,,FY 2019,,6/12/2017,0100-01-01,,,
,,625365123,"Charter Communications, Inc.",,626370134,Primary,9/20/2017,Active,0100-01-01,LN 14,FN 14,"LN 14, FN 14",,,,,M,1/14/1986,INDIA,INDIA,123456789,7/15/2019,115516547A2,H-1B,7/15/2019,10/8/2023,H-1B,10/8/2023,0100-01-01,10/8/2023,10/1/2012,4/4/4000,0100-01-01,0100-01-01,,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,NA,United States of America,0100-01-01,0100-01-01,,11/24/2020,10/8/2023,AOS,12/18/2014,Emp: 2nd,INDIA,I-140 w/prior ER; PERM in process [10.7.21 KAP],0,AOS,6039343,test2@email,"Charter Communications, Inc.",6039343,Charter,Video,,Network Operations,,,"Greenwood Village, CO",,,11/6/2017,L1Manager 14,,L2Manager 14,,HRBP 14,,,,,Network Operations,,,,11/6/2017,0100-01-01,"Greenwood Village, CO",,
,,625365123,"Charter Communications, Inc.",,626370394,Primary,9/21/2017,Active,0100-01-01,LN 15,FN 15,"LN 15, FN 15",,,,,M,1/15/1986,INDIA,INDIA,,9/23/2019,248361145A2,H-1B,9/23/2019,9/30/2023,H-1B,9/30/2023,0100-01-01,9/30/2023,0100-01-01,9/30/2023,0100-01-01,0100-01-01,,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,N/A,United States of America,0100-01-01,0100-01-01,H-1B,4/13/2018,9/30/2020,AOS,0100-01-01,,INDIA,,1,AOS,6021568,test1@email.com,"Charter Communications, Inc.",6021568,Charter,CBO,,Network Operations,,,"Greenwood Village, CO",,,1/8/2018,L1Manager 15,,L2Manager 15,,HRBP 15,,,,,Network Operations,,,,1/8/2018,0100-01-01,"Greenwood Village, CO",,
,,625365123,"Charter Communications, Inc.",,626370559,Primary,9/22/2017,Active,0100-01-01,LN 16,FN 16,"LN 16, FN 16",,,,,M,1/16/1986,India,India,,2/22/2016,86885222556,H-1B,2/22/2016,9/30/2023,H-1B,9/30/2023,0100-01-01,9/30/2023,0100-01-01,9/30/2023,0100-01-01,0100-01-01,,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,N/A,United States of America,0100-01-01,0100-01-01,,10/15/2020,9/30/2023,AOS,0100-01-01,,India,,1,AOS,6038327,test2@email,"Charter Communications, Inc.",6038327,Charter,APO,,Network Operations,,,"Greenwood Village, CO",,,11/6/2017,L1Manager 16,Bob.DeMaria@charter.com,L2Manager 16,,HRBP 16,,,,,Network Operations,,,,11/6/2017,0100-01-01,"Greenwood Village, CO",,
,,625365123,"Charter Communications, Inc.",,626371605,Primary,9/26/2017,Active,0100-01-01,LN 17,FN 17,"LN 17, FN 17",,,,,F,1/17/1986,INDIA,INDIA,,7/30/2020,66229889056,H-1B,12/31/2018,9/30/2023,H-1B,9/30/2023,0100-01-01,9/30/2023,0100-01-01,9/30/2023,0100-01-01,0100-01-01,,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,N/A,United States of America,0100-01-01,0100-01-01,,11/30/2018,10/8/2020,AOS,0100-01-01,,INDIA,,1,AOS,6043029,test1@email.com,"Charter Communications, Inc.",6043029,Charter,CBO,,Network Operations,,,,,,12/11/2017,L1Manager 17,,L2Manager 17,,HRBP 17,,,,,Network Operations,,,,12/11/2017,0100-01-01,,,
,,625365123,"Charter Communications, Inc.",,626420507,Primary,11/17/2017,Active,0100-01-01,LN 18,FN 18,"LN 18, FN 18",,,,,M,1/18/1986,INDIA,INDIA,,6/2/2019,036091010A2,H-1B,6/2/2019,5/30/2022,H-1B,5/30/2022,0100-01-01,5/30/2022,0100-01-01,5/30/2022,0100-01-01,0100-01-01,,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,NA,United States of America,0100-01-01,0100-01-01,,5/16/2019,12/14/2020,AOS,0100-01-01,,INDIA,,1,AOS,6045352,test2@email,"Charter Communications, Inc.",6045352,Charter,Engineering,,Product & Technology,,,,,,12/26/2017,L1Manager 18,mahesh.marti1@charter.com,L2Manager 18,,HRBP 18,,,,,Product & Technology,,,,12/26/2017,0100-01-01,,,
,,625365123,"Charter Communications, Inc.",,626421925,Primary,11/28/2017,Active,0100-01-01,LN 19,FN 19,"LN 19, FN 19",,,,,M,1/19/1986,INDIA,INDIA,123456789,12/15/2019,386090129A2,H-1B,12/15/2019,12/10/2023,H-1B,12/10/2023,0100-01-01,12/10/2023,0100-01-01,4/4/4000,0100-01-01,0100-01-01,,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0,United States of America,0100-01-01,0100-01-01,,12/22/2020,11/17/2023,AOS,9/2/2014,Emp: 2nd,INDIA,I-140 w/prior ER; PERM in process [10.7.21 KAP],0,AOS,6048276,test1@email.com,"Charter Communications, Inc.",6048276,Charter,CBO,,Network Operations,,,,,,2/19/2018,L1Manager 19,obi.okoye-eze@charter.com,L2Manager 19,,HRBP 19,,,,,Network Operations,,,,2/19/2018,0100-01-01,,,
,,625365123,"Charter Communications, Inc.",,626421949,Primary,11/28/2017,Active,0100-01-01,LN 20,FN 20,"LN 20, FN 20",,,,,M,1/20/1986,Canada,Canada,,11/3/2019,57868464656,H-1B,11/3/2019,8/2/2022,H-1B,8/2/2022,0100-01-01,8/2/2022,0100-01-01,10/15/2025,8/2/2022,0100-01-01,,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,M123456,CANADA,7/12/2016,7/12/2026,,10/1/2019,8/2/2022,AOS,0100-01-01,,Canada,,1,AOS,6051348,test2@email,"Charter Communications, Inc.",6051348,Charter,Engineering,,Product & Technology,,,,,,2/12/2018,L1Manager 20,jonathan.williams1@charter.com,L2Manager 20,,HRBP 20,,,,,Product & Technology,,FY 2020,,2/12/2018,0100-01-01,,,
,,625365123,"Charter Communications, Inc.",,626457935,Primary,1/4/2018,Active,0100-01-01,LN 21,FN 21,"LN 21, FN 21",,,,,M,1/21/1986,INDIA,INDIA,,3/7/2021,578653360A2,H-1B,3/7/2021,8/10/2024,H-1B,8/10/2024,0100-01-01,8/10/2024,0100-01-01,1/28/2025,0100-01-01,0100-01-01,,6/19/2019,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,M123456,INDIA,9/12/2011,9/11/2021,,1/28/2020,8/10/2021,AOS,0100-01-01,,India,,1,AOS,1537483,test1@email.com,"Charter Communications, Inc.",1537483,Charter,CBO,,Network Operations,,,,,,10/10/2016,L1Manager 21,,L2Manager 21,,HRBP 21,,,,,Network Operations,,FY 2019,,10/10/2016,0100-01-01,,,
,,625365123,"Charter Communications, Inc.",,626457950,Primary,1/4/2018,Active,0100-01-01,LN 22,FN 22,"LN 22, FN 22",,,,,M,1/22/1986,INDIA,INDIA,123456789,11/28/2018,60192796756,H-1B,11/28/2018,8/20/2024,H-1B,8/20/2024,0100-01-01,8/20/2024,0100-01-01,9/30/2024,0100-01-01,0100-01-01,,4/4/2019,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,M123456,India,5/15/2013,5/14/2023,,10/30/2018,8/20/2021,AOS,0100-01-01,,India,,1,AOS,1537479,test2@email,"Charter Communications, Inc.",1537479,Charter,CBO,,Network Operations,,,,,,10/10/2016,L1Manager 22,,L2Manager 22,,HRBP 22,,,,,Network Operations,,FY 2019 ,,10/10/2016,0100-01-01,,,
,,625365123,"Charter Communications, Inc.",,626464018,Primary,1/17/2018,Active,0100-01-01,LN 23,FN 23,"LN 23, FN 23",,,,,F,1/23/1986,INDIA,INDIA,,11/23/2018,59449955756,,11/23/2018,8/23/2022,H-1B,8/13/2022,0100-01-01,8/13/2022,0100-01-01,9/30/2025,0100-01-01,0100-01-01,,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,M123456,INDIA,5/7/2012,4/7/2022,,2/4/2019,2/19/2020,AOS,0100-01-01,,INDIA,,1,AOS,6044757,test1@email.com,"Charter Communications, Inc.",6044757,Charter,Business Intelligence,,Corporate,,,,,,1/2/2018,L1Manager 23,,L2Manager 23,,HRBP 23,,,,,Corporate,,FY 2020,,1/2/2018,0100-01-01,,,
,,625365123,"Charter Communications, Inc.",,626465297,Primary,1/19/2018,Active,0100-01-01,LN 24,FN 24,"LN 24, FN 24",,,,,M,1/24/1986,INDIA,India,,1/19/2020,449755781A2,H-1B,1/19/2020,7/29/2024,H-1B,7/29/2024,0100-01-01,7/29/2024,0100-01-01,9/30/2024,0100-01-01,0100-01-01,,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,M123456,INDIA,8/14/2014,8/13/2024,,12/26/2019,7/29/2021,AOS,0100-01-01,,INDIA,,1,AOS,6026249,test2@email,"Charter Communications, Inc.",6026249,Charter,CBO,,Network Operations,,,,,,7/17/2017,L1Manager 24,,L2Manager 24,,HRBP 24,,,,,Network Operations,,FY 2019,,7/17/2017,0100-01-01,,,
,,625365123,"Charter Communications, Inc.",,626531244,Primary,2/8/2018,Active,0100-01-01,LN 25,FN 25,"LN 25, FN 25",,,,,M,1/25/1986,INDIA,INDIA,123456789,3/18/2018,91523528385,F1,4/26/2015,2/29/2020,H-1B,6/3/2022,0100-01-01,6/3/2022,0100-01-01,4/4/4000,0100-01-01,0100-01-01,,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,M123456,INDIA,9/17/2012,9/16/2022,,12/5/2013,12/3/2018,AOS,6/17/2021,Emp: 2nd,INDIA,Charter I-140 Approved Petition 1/18/22 (LIN2209750492),0,AOS,6015552,test1@email.com,"Charter Communications, Inc.",6015552,Charter,IT,,Product & Technology,,Sr. Ethical Hacker,"13736 Riverport Drive, Maryland Heights, MO 63043 ",Maryland Heights & from home,MO,3/27/2017,L1Manager 25,,L2Manager 25,,HRBP 25,,,,,Product & Technology,Sr. Ethical Hacker,FY 2019,,3/27/2017,0100-01-01,"13736 Riverport Drive, Maryland Heights, MO 63043 ",Maryland Heights & from home,MO
,,625365123,"Charter Communications, Inc.",,626531316,Primary,2/9/2018,Active,0100-01-01,LN 26,FN 26,"LN 26, FN 26",,,,,M,1/26/1986,INDIA,INDIA,123456789,7/21/2015,68245684030,,7/21/2015,8/2/2022,H-1B,8/2/2022,0100-01-01,8/2/2022,0100-01-01,9/30/2025,0100-01-01,0100-01-01,,9/30/2019,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,M123456,INDIA,8/26/2013,8/25/2023,,0100-01-01,0100-01-01,AOS,0100-01-01,,INDIA,,1,AOS,6016713,test2@email,"Charter Communications, Inc.",6016713,Charter,Engineering,,Product & Technology,Master's,,,,,4/10/2017,L1Manager 26,,L2Manager 26,,HRBP 26,,,,Master's,Product & Technology,,FY 2020,,4/10/2017,0100-01-01,,,
,,625365123,"Charter Communications, Inc.",,626542047,Primary,3/16/2018,Active,0100-01-01,LN 27,FN 27,"LN 27, FN 27",,,,,M,1/27/1986,INDIA,India,,4/19/2018,105460915A2,H-1B,4/19/2018,4/22/2024,H-1B,4/22/2024,0100-01-01,4/22/2024,0100-01-01,4/4/4000,0100-01-01,0100-01-01,,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,M123456,INDIA,0100-01-01,0100-01-01,,0100-01-01,0100-01-01,AOS,4/25/2013,Emp: 2nd,INDIA,I-140 w/prior ER; PERM in process [10.13.21 KAP],0,AOS,6051086,test1@email.com,"Charter Communications, Inc.",6051086,Charter,Product,,Product & Technology,,,,,,6/13/2018,L1Manager 27,tom.miller@charter.com,L2Manager 27,,HRBP 27,,,,,Product & Technology,,,,6/13/2018,0100-01-01,,,
,,625365123,"Charter Communications, Inc.",,626544049,Primary,3/23/2018,Active,0100-01-01,LN 28,FN 28,"LN 28, FN 28",,,,,F,1/28/1986,INDIA,INDIA,,5/15/2018,25445518156,L2,5/15/2018,1/27/2022,LPR,1/27/2022,0100-01-01,1/27/2022,0100-01-01,12/22/2023,10/12/2019,0100-01-01,Based on AOS,8/18/2023,8/18/2023,0100-01-01,0100-01-01,0100-01-01,0100-01-01,M123456,INDIA,9/18/2015,9/17/2025,L-2,11/21/2016,10/12/2019,AOS,0100-01-01,,INDIA,,1,AOS,6034046,test2@email,"Charter Communications, Inc.",6034046,Charter,,,Spectrum Enterprise,,,,,,9/11/2017,L1Manager 28,,L2Manager 28,,HRBP 28,,,,,Spectrum Enterprise,,,,9/11/2017,0100-01-01,,,
,,625365123,"Charter Communications, Inc.",,626547940,Primary,4/6/2018,Active,0100-01-01,LN 29,FN 29,"LN 29, FN 29",,,,,M,1/29/1986,INDIA,INDIA,123456789,5/18/2018,26011584656,H-1B,5/18/2018,5/1/2024,H-1B,5/1/2024,0100-01-01,5/1/2024,0100-01-01,4/4/4000,0100-01-01,0100-01-01,,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,M123456,INDIA,4/24/2015,4/23/2025,,7/15/2016,8/1/2019,AOS,6/29/2015,Emp: 2nd,INDIA,I-140 w/prior ER [10.13.21 KAP],0,AOS,6059817,test1@email.com,"Charter Communications, Inc.",6059817,Charter,Engineering,,Product & Technology,,,,,,5/21/2018,L1Manager 29,David.mattis@charter.com,L2Manager 29,,HRBP 29,,,,,Product & Technology,,,,5/21/2018,0100-01-01,,,
,,625365123,"Charter Communications, Inc.",,626553145,Primary,4/9/2018,Active,0100-01-01,LN 30,FN 30,"LN 30, FN 30",,,,,M,1/30/1986,India,India,,11/13/2016,22942465440,H-1B,11/13/2016,11/12/2022,H-1B,11/12/2022,0100-01-01,11/12/2022,0100-01-01,11/12/2022,0100-01-01,0100-01-01,,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,M123456,INDIA,5/29/2019,5/28/2029,,3/9/2016,9/13/2018,AOS,0100-01-01,,INDIA,,1,AOS,6060690,test2@email,"Charter Communications, Inc.",6060690,Charter,APO,,Network Operations,,,,,,6/4/2018,L1Manager 30,timothy.vance@charter.com,L2Manager 30,,HRBP 30,,,,,Network Operations,,,,6/4/2018,0100-01-01,,,
